Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 644       , 620       , 4        , 0.002                    
 949       , 872       , 1        , 0.002                    
 111       , 518       , 37       , 0.001                    
 606       , 709       , 1        , 0.002                    
 619       , 625       , 1        , 0.002                    
 399       , 17        , 1        , 0.002                    
 782       , 700       , 2        , 0.002                    
 474       , 772       , 2        , 0.002                    
 352       , 366       , 2        , 0.001                    
 889       , 351       , 1        , 0.001                    
 835       , 262       , 1        , 0.002                    
 906       , 385       , 1        , 0.002                    
 194       , 822       , 2        , 0.001                    
 857       , 148       , 1        , 0.002                    
 61        , 172       , 1        , 0.002                    
 984       , 187       , 1        , 0.001                    
 88        , 378       , 2        , 0.002                    
 865       , 799       , 1        , 0.002                    
 318       , 255       , 3        , 0.001                    
 142       , 74        , 2        , 0.002                    
 97        , 829       , 1        , 0.001                    
 804       , 132       , 12       , 0.001                    
 324       , 822       , 6        , 0.002                    
 367       , 802       , 1        , 0.001                    
 132       , 261       , 3        , 0.001                    
 758       , 486       , 2        , 0.002                    
 227       , 608       , 1        , 0.002                    
 128       , 245       , 1        , 0.002                    
 46        , 495       , 1        , 0.001                    
 528       , 964       , 4        , 0.001                    
 561       , 268       , 1        , 0.001                    
 145       , 367       , 1        , 0.001                    
 325       , 364       , 13       , 0.001                    
 680       , 331       , 1        , 0.001                    
 446       , 293       , 1        , 0.001                    
 266       , 558       , 2        , 0.002                    
 369       , 878       , 1        , 0.002                    
 442       , 792       , 2        , 0.001                    
 788       , 523       , 1        , 0.001                    
 834       , 121       , 1        , 0.002                    
 893       , 602       , 1        , 0.002                    
 47        , 309       , 1        , 0.002                    
 453       , 556       , 1        , 0.002                    
 913       , 595       , 1        , 0.003                    
 970       , 580       , 10       , 0.002                    
 460       , 129       , 1        , 0.002                    
 653       , 804       , 1        , 0.001                    
 398       , 316       , 2        , 0.001                    
 683       , 765       , 1        , 0.001                    
 364       , 796       , 4        , 0.002                    
 935       , 753       , 1        , 0.002                    
 74        , 650       , 2        , 0.002                    
 854       , 734       , 2        , 0.002                    
 792       , 614       , 2        , 0.002                    
 672       , 873       , 3        , 0.002                    
 260       , 613       , 1        , 0.002                    
 862       , 297       , 1        , 0.002                    
 103       , 999       , 1        , 0.001                    
 491       , 837       , 1        , 0.002                    
 795       , 153       , 3        , 0.001                    
 772       , 111       , 1        , 0.002                    
 62        , 907       , 1        , 0.003                    
 453       , 492       , 3        , 0.002                    
 319       , 156       , 1        , 0.002                    
 203       , 596       , 1        , 0.002                    
 690       , 827       , 1        , 0.001                    
 92        , 102       , 2        , 0.002                    
 163       , 491       , 1        , 0.002                    
 463       , 808       , 1        , 0.002                    
 352       , 472       , 8        , 0.001                    
 454       , 676       , 2        , 0.002                    
 868       , 680       , 4        , 0.002                    
 811       , 264       , 1        , 0.001                    
 283       , 529       , 1        , 0.002                    
 698       , 393       , 1        , 0.002                    
 682       , 464       , 2        , 0.001                    
 878       , 392       , 2        , 0.002                    
 684       , 814       , 2        , 0.002                    
 91        , 997       , 1        , 0.002                    
 756       , 191       , 1        , 0.002                    
 853       , 175       , 1        , 0.001                    
 381       , 343       , 1        , 0.001                    
 925       , 362       , 1        , 0.002                    
 309       , 830       , 1        , 0.002                    
 463       , 953       , 1        , 0.001                    
 370       , 845       , 5        , 0.002                    
 890       , 21        , 1        , 0.002                    
 867       , 736       , 1        , 0.002                    
 38        , 601       , 1        , 0.001                    
 126       , 307       , 1        , 0.002                    
 871       , 677       , 1        , 0.002                    
 360       , 447       , 3        , 0.001                    
 961       , 42        , 1        , 0.001                    
 754       , 148       , 2        , 0.001                    
 666       , 376       , 2        , 0.002                    
 483       , 833       , 7        , 0.001                    
 595       , 458       , 1        , 0.001                    
 394       , 357       , 1        , 0.001                    
 488       , 711       , 1        , 0.001                    
 32        , 240       , 16       , 0.001                    
 392       , 617       , 1        , 0.002                    
 672       , 613       , 1        , 0.001                    
 327       , 833       , 1        , 0.001                    
 709       , 531       , 1        , 0.001                    
 727       , 584       , 1        , 0.001                    
 77        , 425       , 1        , 0.001                    
 364       , 38        , 2        , 0.001                    
 663       , 152       , 1        , 0.001                    
 804       , 835       , 1        , 0.001                    
 546       , 389       , 1        , 0.001                    
 150       , 432       , 6        , 0.0                      
 202       , 947       , 1        , 0.001                    
 551       , 100       , 1        , 0.001                    
 205       , 299       , 1        , 0.001                    
 918       , 245       , 1        , 0.001                    
 634       , 132       , 2        , 0.001                    
 68        , 297       , 1        , 0.001                    
 506       , 839       , 1        , 0.001                    
 911       , 199       , 1        , 0.002                    
 33        , 728       , 1        , 0.001                    
 791       , 30        , 1        , 0.002                    
 23        , 76        , 1        , 0.002                    
 44        , 739       , 1        , 0.002                    
 248       , 16        , 8        , 0.001                    
 47        , 365       , 1        , 0.002                    
 604       , 415       , 1        , 0.001                    
 965       , 284       , 1        , 0.002                    
 5         , 174       , 1        , 0.002                    
 375       , 992       , 1        , 0.002                    
 408       , 993       , 3        , 0.001                    
 663       , 764       , 1        , 0.002                    
 83        , 901       , 1        , 0.001                    
 98        , 580       , 2        , 0.001                    
 588       , 676       , 4        , 0.001                    
 719       , 818       , 1        , 0.0                      
 408       , 750       , 6        , 0.001                    
 192       , 409       , 1        , 0.001                    
 702       , 16        , 2        , 0.001                    
 408       , 756       , 12       , 0.001                    
 86        , 642       , 2        , 0.001                    
 783       , 972       , 27       , 0.001                    
 56        , 771       , 1        , 0.001                    
 41        , 342       , 1        , 0.001                    
 880       , 245       , 5        , 0.001                    
 514       , 652       , 2        , 0.001                    
 877       , 948       , 1        , 0.001                    
 304       , 760       , 152      , 0.0                      
 587       , 17        , 1        , 0.001                    
 775       , 288       , 1        , 0.001                    
 889       , 139       , 1        , 0.001                    
 778       , 47        , 1        , 0.001                    
 456       , 132       , 12       , 0.001                    
 759       , 927       , 3        , 0.001                    
 42        , 636       , 6        , 0.0                      
 627       , 394       , 1        , 0.001                    
 460       , 680       , 20       , 0.001                    
 709       , 965       , 1        , 0.001                    
 848       , 590       , 2        , 0.001                    
 683       , 918       , 1        , 0.001                    
 791       , 175       , 7        , 0.001                    
 428       , 707       , 1        , 0.001                    
 811       , 824       , 1        , 0.001                    
 508       , 6         , 2        , 0.0                      
 141       , 381       , 3        , 0.001                    
 777       , 777       , 777      , 0.001                    
 866       , 252       , 2        , 0.001                    
 934       , 397       , 1        , 0.001                    
 533       , 409       , 1        , 0.001                    
 108       , 172       , 4        , 0.001                    
 692       , 698       , 2        , 0.0                      
 286       , 86        , 2        , 0.0                      
 250       , 247       , 1        , 0.0                      
 994       , 915       , 1        , 0.001                    
 690       , 72        , 6        , 0.001                    
 993       , 999       , 3        , 0.001                    
 964       , 255       , 1        , 0.001                    
 139       , 643       , 1        , 0.001                    
 878       , 132       , 2        , 0.001                    
 739       , 862       , 1        , 0.001                    
 795       , 279       , 3        , 0.0                      
 549       , 167       , 1        , 0.001                    
 105       , 867       , 3        , 0.001                    
 177       , 571       , 1        , 0.001                    
 866       , 628       , 2        , 0.002                    
 443       , 489       , 1        , 0.001                    
 257       , 669       , 1        , 0.001                    
 694       , 338       , 2        , 0.0                      
 724       , 992       , 4        , 0.001                    
 311       , 934       , 1        , 0.001                    
 439       , 226       , 1        , 0.001                    
 931       , 107       , 1        , 0.001                    
 54        , 563       , 1        , 0.001                    
 417       , 509       , 1        , 0.001                    
 68        , 743       , 1        , 0.001                    
 864       , 595       , 1        , 0.001                    
 216       , 518       , 2        , 0.001                    
 131       , 789       , 1        , 0.001                    
 649       , 412       , 1        , 0.001                    
 541       , 29        , 1        , 0.001                    
 143       , 605       , 11       , 0.001                    
 325       , 133       , 1        , 0.0                      
 294       , 226       , 2        , 0.0                      
 393       , 106       , 1        , 0.001                    
 375       , 964       , 1        , 0.001                    
 13        , 233       , 1        , 0.001                    
 268       , 879       , 1        , 0.001                    
 633       , 785       , 1        , 0.001                    
 635       , 172       , 1        , 0.001                    
 75        , 368       , 1        , 0.001                    
 203       , 480       , 1        , 0.001                    
 958       , 389       , 1        , 0.001                    
 69        , 626       , 1        , 0.001                    
 579       , 352       , 1        , 0.001                    
 707       , 98        , 7        , 0.001                    
 930       , 776       , 2        , 0.001                    
 441       , 558       , 9        , 0.001                    
 883       , 484       , 1        , 0.002                    
 712       , 458       , 2        , 0.001                    
 658       , 731       , 1        , 0.001                    
 447       , 416       , 1        , 0.001                    
 23        , 111       , 1        , 0.001                    
 155       , 59        , 1        , 0.001                    
 679       , 83        , 1        , 0.001                    
 901       , 363       , 1        , 0.0                      
 432       , 473       , 1        , 0.001                    
 216       , 125       , 1        , 0.001                    
 411       , 257       , 1        , 0.001                    
 657       , 386       , 1        , 0.001                    
 630       , 678       , 6        , 0.0                      
 288       , 827       , 1        , 0.001                    
 319       , 733       , 1        , 0.001                    
 264       , 195       , 3        , 0.001                    
 299       , 505       , 1        , 0.005                    
 863       , 21        , 1        , 0.001                    
 866       , 325       , 1        , 0.001                    
 804       , 416       , 4        , 0.001                    
 538       , 441       , 1        , 0.001                    
 327       , 478       , 1        , 0.0                      
 875       , 455       , 35       , 0.0                      
 274       , 556       , 2        , 0.0                      
 603       , 52        , 1        , 0.001                    
 60        , 414       , 6        , 0.001                    
 907       , 629       , 1        , 0.001                    
 893       , 32        , 1        , 0.001                    
 115       , 33        , 1        , 0.0                      
 588       , 479       , 1        , 0.001                    
 322       , 142       , 2        , 0.001                    
 251       , 407       , 1        , 0.001                    
 448       , 439       , 1        , 0.001                    
 791       , 73        , 1        , 0.001                    
 936       , 990       , 18       , 0.001                    
 45        , 467       , 1        , 0.001                    
 445       , 178       , 89       , 0.001                    
 286       , 210       , 2        , 0.003                    
 934       , 868       , 2        , 0.001                    
 454       , 438       , 2        , 0.001                    
 768       , 193       , 1        , 0.0                      
 618       , 164       , 2        , 0.0                      
 285       , 676       , 1        , 0.001                    
 642       , 501       , 3        , 0.001                    
 674       , 870       , 2        , 0.001                    
 101       , 186       , 1        , 0.001                    
 786       , 897       , 3        , 0.001                    
 612       , 588       , 12       , 0.001                    
 25        , 216       , 1        , 0.001                    
 908       , 163       , 1        , 0.001                    
 17        , 998       , 1        , 0.001                    
 617       , 314       , 1        , 0.001                    
 58        , 100       , 2        , 0.001                    
 222       , 859       , 1        , 0.001                    
 981       , 158       , 1        , 0.001                    
 605       , 364       , 1        , 0.002                    
 907       , 754       , 1        , 0.001                    
 374       , 679       , 1        , 0.001                    
 284       , 492       , 4        , 0.001                    
 999       , 961       , 1        , 0.001                    
 830       , 680       , 10       , 0.001                    
 349       , 799       , 1        , 0.001                    
 338       , 884       , 26       , 0.001                    
 562       , 874       , 2        , 0.001                    
 469       , 909       , 1        , 0.001                    
 898       , 646       , 2        , 0.001                    
 666       , 351       , 9        , 0.001                    
 112       , 84        , 28       , 0.001                    
 477       , 894       , 3        , 0.001                    
 491       , 66        , 1        , 0.001                    
 345       , 581       , 1        , 0.001                    
 960       , 410       , 10       , 0.001                    
 356       , 290       , 2        , 0.001                    
 331       , 538       , 1        , 0.001                    
 751       , 990       , 1        , 0.001                    
 520       , 143       , 13       , 0.001                    
 123       , 891       , 3        , 0.0                      
 806       , 930       , 62       , 0.0                      
 932       , 472       , 4        , 0.0                      
 732       , 982       , 2        , 0.001                    
 340       , 93        , 1        , 0.001                    
 221       , 963       , 1        , 0.001                    
 899       , 250       , 1        , 0.001                    
 544       , 345       , 1        , 0.001                    
 247       , 728       , 13       , 0.001                    
 459       , 226       , 1        , 0.02                     
 602       , 628       , 2        , 0.002                    
 775       , 576       , 1        , 0.002                    
 593       , 197       , 1        , 0.001                    
 424       , 85        , 1        , 0.001                    
 152       , 967       , 1        , 0.001                    
 502       , 689       , 1        , 0.001                    
 426       , 144       , 6        , 0.001                    
 1000      , 39        , 1        , 0.001                    
 172       , 407       , 1        , 0.001                    
 23        , 591       , 1        , 0.001                    
 267       , 215       , 1        , 0.001                    
 526       , 215       , 1        , 0.001                    
 14        , 138       , 2        , 0.001                    
 179       , 462       , 1        , 0.001                    
 576       , 386       , 2        , 0.001                    
 213       , 411       , 3        , 0.012                    
 548       , 481       , 1        , 0.001                    
 481       , 603       , 1        , 0.001                    
 527       , 976       , 1        , 0.001                    
 180       , 323       , 1        , 0.001                    
 405       , 493       , 1        , 0.001                    
 910       , 758       , 2        , 0.001                    
 44        , 308       , 44       , 0.001                    
 927       , 551       , 1        , 0.001                    
 177       , 487       , 1        , 0.001                    
 48        , 2         , 2        , 0.001                    
 159       , 135       , 3        , 0.001                    
 132       , 539       , 11       , 0.0                      
 897       , 106       , 1        , 0.001                    
 865       , 927       , 1        , 0.001                    
 751       , 651       , 1        , 0.001                    
 481       , 947       , 1        , 0.001                    
 340       , 199       , 1        , 0.001                    
 671       , 514       , 1        , 0.001                    
 551       , 484       , 1        , 0.001                    
 170       , 889       , 1        , 0.001                    
 518       , 509       , 1        , 0.003                    
 943       , 718       , 1        , 0.001                    
 988       , 181       , 1        , 0.001                    
 650       , 695       , 5        , 0.001                    
 672       , 558       , 6        , 0.001                    
 606       , 2         , 2        , 0.001                    
 502       , 963       , 1        , 0.0                      
 512       , 138       , 2        , 0.001                    
 361       , 869       , 1        , 0.001                    
 154       , 993       , 1        , 0.001                    
 213       , 765       , 3        , 0.001                    
 360       , 840       , 120      , 0.0                      
 49        , 66        , 1        , 0.001                    
 534       , 970       , 2        , 0.001                    
 176       , 812       , 4        , 0.001                    
 210       , 829       , 1        , 0.001                    
 955       , 801       , 1        , 0.001                    
 431       , 498       , 1        , 0.001                    
 513       , 917       , 1        , 0.002                    
 623       , 839       , 1        , 0.001                    
 661       , 884       , 1        , 0.001                    
 72        , 896       , 8        , 0.001                    
 713       , 88        , 1        , 0.001                    
 321       , 535       , 107      , 0.001                    
 413       , 373       , 1        , 0.001                    
 965       , 881       , 1        , 0.001                    
 203       , 354       , 1        , 0.001                    
 845       , 615       , 5        , 0.001                    
 522       , 640       , 2        , 0.001                    
 851       , 479       , 1        , 0.001                    
 908       , 671       , 1        , 0.001                    
 932       , 180       , 4        , 0.001                    
 757       , 139       , 1        , 0.001                    
 258       , 5         , 1        , 0.001                    
 360       , 574       , 2        , 0.001                    
 61        , 722       , 1        , 0.001                    
 142       , 885       , 1        , 0.001                    
 117       , 182       , 13       , 0.001                    
 851       , 676       , 1        , 0.001                    
 377       , 611       , 13       , 0.001                    
 443       , 59        , 1        , 0.001                    
 366       , 14        , 2        , 0.001                    
 619       , 631       , 1        , 0.001                    
 624       , 778       , 2        , 0.001                    
 595       , 890       , 5        , 0.0                      
 41        , 496       , 1        , 0.0                      
 928       , 593       , 1        , 0.002                    
 632       , 658       , 2        , 0.001                    
 932       , 897       , 1        , 0.001                    
 772       , 627       , 1        , 0.001                    
 433       , 978       , 1        , 0.001                    
 642       , 477       , 3        , 0.001                    
 6         , 510       , 6        , 0.001                    
 885       , 635       , 5        , 0.001                    
 359       , 356       , 1        , 0.001                    
 482       , 16        , 2        , 0.0                      
 532       , 923       , 1        , 0.001                    
 840       , 174       , 6        , 0.001                    
 288       , 925       , 1        , 0.001                    
 202       , 194       , 2        , 0.001                    
 969       , 427       , 1        , 0.001                    
 170       , 87        , 1        , 0.001                    
 704       , 237       , 1        , 0.001                    
 51        , 722       , 1        , 0.001                    
 29        , 387       , 1        , 0.002                    
 530       , 178       , 2        , 0.001                    
 54        , 936       , 18       , 0.001                    
 561       , 336       , 3        , 0.001                    
 316       , 29        , 1        , 0.001                    
 24        , 209       , 1        , 0.001                    
 701       , 260       , 1        , 0.001                    
 6         , 193       , 1        , 0.001                    
 301       , 553       , 7        , 0.001                    
 541       , 902       , 1        , 0.001                    
 575       , 849       , 1        , 0.001                    
 495       , 16        , 1        , 0.001                    
 53        , 942       , 1        , 0.001                    
 954       , 294       , 6        , 0.001                    
 187       , 593       , 1        , 0.001                    
 451       , 945       , 1        , 0.001                    
 481       , 233       , 1        , 0.001                    
 157       , 203       , 1        , 0.001                    
 89        , 226       , 1        , 0.001                    
 510       , 611       , 1        , 0.001                    
 264       , 771       , 3        , 0.001                    
 919       , 272       , 1        , 0.002                    
 678       , 416       , 2        , 0.001                    
 155       , 177       , 1        , 0.001                    
 444       , 99        , 3        , 0.001                    
 346       , 633       , 1        , 0.001                    
 44        , 838       , 2        , 0.001                    
 913       , 150       , 1        , 0.001                    
 894       , 26        , 2        , 0.001                    
 986       , 607       , 1        , 0.004                    
 656       , 790       , 2        , 0.001                    
 565       , 914       , 1        , 0.001                    
 46        , 6         , 2        , 0.001                    
 271       , 485       , 1        , 0.001                    
 802       , 708       , 2        , 0.001                    
 482       , 235       , 1        , 0.001                    
 76        , 418       , 38       , 0.0                      
 682       , 443       , 1        , 0.001                    
 602       , 17        , 1        , 0.001                    
 948       , 24        , 12       , 0.001                    
 497       , 436       , 1        , 0.001                    
 76        , 320       , 4        , 0.001                    
 382       , 412       , 2        , 0.001                    
 518       , 122       , 2        , 0.001                    
 440       , 86        , 2        , 0.001                    
 110       , 991       , 1        , 0.0                      
 923       , 825       , 1        , 0.001                    
 137       , 182       , 1        , 0.001                    
 887       , 80        , 1        , 0.001                    
 75        , 206       , 1        , 0.001                    
 579       , 228       , 3        , 0.001                    
 911       , 226       , 1        , 0.001                    
 969       , 946       , 1        , 0.001                    
 795       , 888       , 3        , 0.001                    
 255       , 685       , 5        , 0.0                      
 255       , 434       , 1        , 0.001                    
 115       , 861       , 1        , 0.001                    
 271       , 692       , 1        , 0.001                    
 629       , 242       , 1        , 0.0                      
 913       , 882       , 1        , 0.001                    
 114       , 974       , 2        , 0.001                    
 191       , 986       , 1        , 0.001                    
 697       , 815       , 1        , 0.001                    
 857       , 71        , 1        , 0.0                      
 489       , 92        , 1        , 0.001                    
 985       , 725       , 5        , 0.001                    
 151       , 152       , 1        , 0.001                    
 525       , 67        , 1        , 0.001                    
 733       , 511       , 1        , 0.001                    
 407       , 440       , 11       , 0.001                    
 912       , 546       , 6        , 0.0                      
 426       , 704       , 2        , 0.001                    
 371       , 328       , 1        , 0.001                    
 832       , 646       , 2        , 0.001                    
 974       , 765       , 1        , 0.001                    
 735       , 402       , 3        , 0.001                    
 403       , 186       , 31       , 0.001                    
 106       , 412       , 2        , 0.001                    
 477       , 870       , 3        , 0.001                    
 43        , 547       , 1        , 0.001                    
 323       , 431       , 1        , 0.001                    
 792       , 465       , 3        , 0.001                    
 824       , 965       , 1        , 0.002                    
 694       , 56        , 2        , 0.001                    
 603       , 164       , 1        , 0.001                    
 968       , 73        , 1        , 0.003                    
 434       , 717       , 1        , 0.001                    
 937       , 501       , 1        , 0.001                    
 604       , 956       , 4        , 0.001                    
 695       , 144       , 1        , 0.001                    
 954       , 671       , 1        , 0.001                    
 532       , 594       , 2        , 0.001                    
 436       , 453       , 1        , 0.001                    
 349       , 329       , 1        , 0.001                    
 722       , 365       , 1        , 0.001                    
 516       , 281       , 1        , 0.001                    
 18        , 512       , 2        , 0.001                    
 176       , 471       , 1        , 0.001                    
 84        , 29        , 1        , 0.0                      
 761       , 24        , 1        , 0.001                    
 743       , 498       , 1        , 0.001                    
 786       , 539       , 1        , 0.001                    
 713       , 719       , 1        , 0.001                    
 491       , 432       , 1        , 0.0                      
 504       , 585       , 9        , 0.0                      
 948       , 453       , 3        , 0.001                    
 602       , 19        , 1        , 0.002                    
 640       , 346       , 2        , 0.001                    
 431       , 893       , 1        , 0.001                    
 648       , 784       , 8        , 0.001                    
 390       , 613       , 1        , 0.0                      
 60        , 183       , 3        , 0.0                      
 176       , 210       , 2        , 0.001                    
 666       , 698       , 2        , 0.001                    
 392       , 68        , 4        , 0.001                    
 866       , 984       , 2        , 0.001                    
 758       , 813       , 1        , 0.001                    
 939       , 223       , 1        , 0.001                    
 71        , 254       , 1        , 0.001                    
